Product_Names,Prices,Ratings,Store_Names,Location
Basreng - Baso Goreng Rasa Asin & Pedas - SEHI - 100gr,23800,5.0,cahayamaju10,Sukabumi
Basreng Pedas | Kemasan 200gram | Rasa Pedas Asin,10000,,AlodeaOlshop,Klaten
Basreng,12000,,RamaAndaru,TangerangSelatan
Basreng,40000,,RamaAndaru,TangerangSelatan
Basreng - Baso Goreng Rasa Asin & Pedas - SEHI - 100gr,23800,5.0,cahayamaju10,Sukabumi
Basreng Pedas Keripik Baso Goreng Pedes Kripik Bakso Balado Cemilan Krupuk Kerupuk Basreng,14900,5.0,SnackLegit,JakartaBarat
Bakso Goreng/ Basreng Pedas & Gurih (isi 24),11500,5.0,Vivfloshop,JakartaSelatan
Maicih Basreng,16700,4.9,GERAISNACK.ID,Kab.Tangerang
Juara Snack Basreng Iris Original 230gr,13500,5.0,JuaraSnack,Kab.Bogor
Basreng Majikan Rasa Pedas Daun Jeruk 100 Gram By DAPUR37 Snack Cemilan,5900,,DansHouse,Tangerang
Basreng,40000,,RamaAndaru,TangerangSelatan
Basreng,12000,,RamaAndaru,TangerangSelatan
BASRENG Keripik Pedas ( Kiloan / Curah ),65000,4.9,KriukJaya,JakartaBarat
Paket usaha 3 pak Basreng | Keripik kaca | Baby crab,25000,,saungshopping,Garut
Basreng Majikan Rasa Original Daun Jeruk 500 Gram By DAPUR37,29900,,DansHouse,Tangerang
Basreng Majikan Rasa Original Daun Jeruk 1 Kg By DAPUR37,57900,,DansHouse,Tangerang
Basreng Majikan Rasa Original Daun Jeruk 100 Gram By DAPUR37 Snack Cemilan,5900,,DansHouse,Tangerang
Basreng Majikan Rasa Pedas Daun Jeruk 500 Gram By DAPUR37,29900,,DansHouse,Tangerang
Hachi - Keripik Basreng dan Makaroni - 100 gr,12500,,cemilan4u,Bandung
Basreng Mentah Chilli Oil MadamDi Paket 3Bungkus,28970,,dianspshop,Garut
basreng otak2 kering pouch 100gr,5500,4.8,cemilanTasikstore,Tasikmalaya
OLEH OLEH BASRENG KACANG JAGUNG 250GR,25000,,CirebonCantik,Cirebon
KERIPIK KRIPIK BASO BASRENG CEMILAN ENAK GURIH MAHYRA KERUPUK,17000,,GUDANGSANDALDANFASHION,Kab.Sukabumi
Oleh oleh Basreng ori daun jeruk ais KYU 250gr,28500,,CirebonCantik,Cirebon
Stik Basreng rasa Original Gurih Daun Jeruk 250 Gram,16000,5.0,DuoBocilSnack,Depok
Stik Basreng Baso Goreng - 250 Gram,16000,5.0,DuoBocilSnack,Depok
Oleh oleh Basreng pedas daun jeruk ais KYU 250gr,28500,,CirebonCantik,Cirebon
Baso goreng/ basreng,21500,5.0,Frozen99tangsel,TangerangSelatan
Basreng Sultan Pedas Daun Jeruk 100 Gram- Basreng Enak-Basreng Murah/ Basreng Stik- Basreng Viral-Basreng Di Malang,5000,,KembaliBelanja,Kab.Malang
Basreng Stik Viral Bakso Goreng Original - Pedas - Extra Pedas Aroma Daun Jeruk 500 gram,29350,5.0,AnantaShop,JakartaPusat
Basreng Pedas/Original Daun Jeruk Viral 2kg Juara Snack,95000,,JuaraSnack,Kab.Bogor
Basreng pedas,15000,,TOKOOBATADEL,JakartaTimur
Basreng Pedas Daun Jeruk 100gr Juara Snack,7500,5.0,JuaraSnack,Kab.Bogor
Aneka Bumbu Tabur Snack Rasa Balado Untuk Keripik Singkong Cilung Kripik Pisang Cimol Cimol Kentang Goreng Makaroni Basreng Papeda Murah GAFI,51998,5.0,BumbuTaburCabeBubukMinuman,Kab.Bandung
Bumbu Tabur Rasa Smoke Seasoning Non MSG 1 Kg l Bubuk Tabur Bumbu Asap No MSG 1Kg Murah Bumbu Aneka Rasa Komplit Keripik Singkong Basreng Kentang GAFI,74900,,BumbuTaburCabeBubukMinuman,Kab.Bandung
Aneka Bumbu Tabur Snack Rasa Telur Asin Salted Egg Buat Singkong Cilung Keripik Pisang Basreng Tahu Bulat Nasi Ikan Cilor Food Halal GAFI,82998,,BumbuTaburCabeBubukMinuman,Kab.Bandung
Bumbu Tabur Rasa Mie Spaghetty Bolognese 1 Kg l Bubuk Tabur Mie Spageti Bolognaise 1Kg Murah Bumbu Aneka Rasa Komplit Keripik Singkong Basreng GAFI,76900,,BumbuTaburCabeBubukMinuman,Kab.Bandung
Aneka Bumbu Tabur Snack Rasa Keju Cheese Buat Nasi Tanaka Snack Cimol Kripik Singkong Cilung Keripik Pisang Basreng Tahu Bulat Bintang Kembar GAFI,51900,,BumbuTaburCabeBubukMinuman,Kab.Bandung
Cabe Bubuk Bumbu Mala Non MSG 1 Kg l Bubuk Cabai Mala Xiang Guo No MSG 1Kg Murah Bumbu Aneka Rasa Komplit Keripik Singkong Basreng Tahu Bulat GAFI,74900,,BumbuTaburCabeBubukMinuman,Kab.Bandung
